Sample	Season	Site	Species	Condition	Compartment	Replicate	Species_Condition	Group	
prNPD09E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	9	Ppinaster_Symptomatic	prNPDE	
prNPD09R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	9	Ppinaster_Symptomatic	prNPDR	
prNPD10E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	10	Ppinaster_Symptomatic	prNPDE	
prNPD10R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	10	Ppinaster_Symptomatic	prNPDR	
prNPD11E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	11	Ppinaster_Symptomatic	prNPDE	
prNPD11R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	11	Ppinaster_Symptomatic	prNPDR	
prNPD12E	Spring	SierraNevada	Ppinaster	Symptomatic	Endosphere	12	Ppinaster_Symptomatic	prNPDE	
prNPD12R	Spring	SierraNevada	Ppinaster	Symptomatic	Rhizosphere	12	Ppinaster_Symptomatic	prNPDR	
prNPH01E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	1	Ppinaster_Asymptomatic	prNPHE	
prNPH01R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	1	Ppinaster_Asymptomatic	prNPHR	
prNPH02E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	2	Ppinaster_Asymptomatic	prNPHE	
prNPH02R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	2	Ppinaster_Asymptomatic	prNPHR	
prNPH03E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	3	Ppinaster_Asymptomatic	prNPHE	
prNPH03R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	3	Ppinaster_Asymptomatic	prNPHR	
prNPH04E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	4	Ppinaster_Asymptomatic	prNPHE	
prNPH04R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	4	Ppinaster_Asymptomatic	prNPHR	
prNPH05E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	5	Ppinaster_Asymptomatic	prNPHE	
prNPH05R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	5	Ppinaster_Asymptomatic	prNPHR	
prNPH06E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	6	Ppinaster_Asymptomatic	prNPHE	
prNPH06R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	6	Ppinaster_Asymptomatic	prNPHR	
prNPH07E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	7	Ppinaster_Asymptomatic	prNPHE	
prNPH07R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	7	Ppinaster_Asymptomatic	prNPHR	
prNPH08E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	8	Ppinaster_Asymptomatic	prNPHE	
prNPH08R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	8	Ppinaster_Asymptomatic	prNPHR	
prNPH09E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	9	Ppinaster_Asymptomatic	prNPHE	
prNPH09R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	9	Ppinaster_Asymptomatic	prNPHR	
